,Year,Month,City,Employment,Unemployment,Unemployment Rate,Labor Force
0,2017,1,Abilene,71281.0,3044.0,4.1,74325.0
1,2017,2,Abilene,71645.0,3224.0,4.3,74869.0
2,2017,3,Abilene,71935.0,3214.0,4.3,75149.0
3,2017,4,Abilene,72095.0,3155.0,4.2,75250.0
4,2017,5,Abilene,71677.0,3094.0,4.1,74771.0
5,2017,6,Abilene,71342.0,2889.0,3.9,74231.0
6,2017,7,Abilene,71022.0,2672.0,3.6,73694.0
7,2017,8,Abilene,71069.0,2830.0,3.8,73899.0
8,2017,9,Abilene,71540.0,2665.0,3.6,74205.0
9,2016,1,Abilene,72368.0,2829.0,3.8,75197.0
10,2016,2,Abilene,73052.0,2798.0,3.7,75850.0
11,2016,3,Abilene,73226.0,2944.0,3.9,76170.0
12,2016,4,Abilene,73082.0,2962.0,3.9,76044.0
13,2016,5,Abilene,72745.0,2849.0,3.8,75594.0
14,2016,6,Abilene,72634.0,2753.0,3.7,75387.0
15,2016,7,Abilene,72730.0,2870.0,3.8,75600.0
16,2016,8,Abilene,72822.0,2983.0,3.9,75805.0
17,2016,9,Abilene,72845.0,3108.0,4.1,75953.0
18,2016,10,Abilene,72910.0,2994.0,3.9,75904.0
19,2016,11,Abilene,72990.0,2895.0,3.8,75885.0
20,2016,12,Abilene,72968.0,3100.0,4.1,76068.0
21,2015,1,Abilene,72446.0,2923.0,3.9,75369.0
22,2015,2,Abilene,72421.0,2938.0,3.9,75359.0
23,2015,3,Abilene,72357.0,2946.0,3.9,75303.0
24,2015,4,Abilene,72356.0,2977.0,4.0,75333.0
25,2015,5,Abilene,72406.0,2949.0,3.9,75355.0
26,2015,6,Abilene,72417.0,2843.0,3.8,75260.0
27,2015,7,Abilene,72352.0,2790.0,3.7,75142.0
28,2015,8,Abilene,72225.0,2820.0,3.8,75045.0
29,2015,9,Abilene,72054.0,2896.0,3.9,74950.0
30,2015,10,Abilene,71915.0,2964.0,4.0,74879.0
31,2015,11,Abilene,71880.0,2980.0,4.0,74860.0
32,2015,12,Abilene,71917.0,2964.0,4.0,74881.0
33,2014,1,Abilene,72878.0,3633.0,4.7,76511.0
34,2014,2,Abilene,72835.0,3611.0,4.7,76446.0
35,2014,3,Abilene,72848.0,3557.0,4.7,76405.0
36,2014,4,Abilene,72943.0,3428.0,4.5,76371.0
37,2014,5,Abilene,73039.0,3330.0,4.4,76369.0
38,2014,6,Abilene,73053.0,3269.0,4.3,76322.0
39,2014,7,Abilene,72955.0,3264.0,4.3,76219.0
40,2014,8,Abilene,72790.0,3241.0,4.3,76031.0
41,2014,9,Abilene,72617.0,3159.0,4.2,75776.0
